"doubles_uses,standard_uses,total_uses,season_number,team_name,league,role"
"0,5,5,18,Knights,PREMIER,PLAYERD"
"5,6,11,18,Knights,PREMIER,PLAYERE"
"4,3,7,18,Knights,PREMIER,PLAYERF"
"5,7,12,18,Lightning,ACADEMY,PLAYERA"
"6,3,9,18,Lightning,ACADEMY,PLAYERB"
"0,4,4,18,Lightning,ACADEMY,PLAYERC"
"6,6,12,18,Lightning,ACADEMY,PLAYERD"
"1,1,2,18,Lightning,ACADEMY,PLAYERE"
"4,7,11,18,Lightning,ACADEMY,PLAYERF"
"3,5,8,18,Lightning,CHAMPION,PLAYERA"
"3,7,10,18,Lightning,CHAMPION,PLAYERB"
"5,7,12,18,Lightning,CHAMPION,PLAYERC"
"2,3,5,18,Lightning,CHAMPION,PLAYERD"
"6,4,10,18,Lightning,CHAMPION,PLAYERE"
"2,1,3,18,Lightning,CHAMPION,PLAYERG"
"2,1,3,18,Lightning,CHAMPION,PLAYERH"
"3,7,10,18,Lightning,MASTER,PLAYERA"
"3,2,5,18,Lightning,MASTER,PLAYERB"
"3,8,11,18,Lightning,MASTER,PLAYERC"
"5,7,12,18,Lightning,MASTER,PLAYERD"
"3,1,4,18,Lightning,MASTER,PLAYERE"
"0,1,1,18,Lightning,MASTER,PLAYERF"
"1,3,4,18,Lightning,MASTER,PLAYERG"
"3,1,4,18,Lightning,MASTER,PLAYERH"
"2,3,5,18,Lightning,PREMIER,PLAYERA"
"5,6,11,18,Lightning,PREMIER,PLAYERB"
"6,6,12,18,Lightning,PREMIER,PLAYERC"
"4,7,11,18,Lightning,PREMIER,PLAYERD"
"4,8,12,18,Lightning,PREMIER,PLAYERE"
"4,6,10,18,Outlaws,ACADEMY,PLAYERA"
