"match_id,fixture_id,match_group_id,scheduling_start_time,scheduling_end_time,home,away,league,game_mode,home_wins,away_wins,winning_team"
"2639,158,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Hurricanes,Aviators,Champion League,Standard,0,0,Not Played / Data Unavailable"
"922,158,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Hurricanes,Aviators,Academy League,Standard,0,0,Not Played / Data Unavailable"
"926,159,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Lightning,Ducks,Master League,Doubles,0,0,Not Played / Data Unavailable"
"2297,159,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Lightning,Ducks,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"952,159,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Lightning,Ducks,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"925,159,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Lightning,Ducks,Master League,Standard,0,0,Not Played / Data Unavailable"
"927,159,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Lightning,Ducks,Champion League,Standard,0,0,Not Played / Data Unavailable"
"26,159,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Lightning,Ducks,Academy League,Standard,0,0,Not Played / Data Unavailable"
"941,160,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Outlaws,Sharks,Master League,Doubles,0,0,Not Played / Data Unavailable"
"929,160,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Outlaws,Sharks,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"933,160,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Outlaws,Sharks,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"939,160,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Outlaws,Sharks,Master League,Standard,0,0,Not Played / Data Unavailable"
"2640,160,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Outlaws,Sharks,Champion League,Standard,0,0,Not Played / Data Unavailable"
"934,160,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Outlaws,Sharks,Academy League,Standard,0,0,Not Played / Data Unavailable"
"2609,171,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Pirates,Flames,Master League,Doubles,0,0,Not Played / Data Unavailable"
"949,171,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Pirates,Flames,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"57,171,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Pirates,Flames,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"951,171,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Pirates,Flames,Master League,Standard,0,0,Not Played / Data Unavailable"
